condition,MLV_IC50,VSV_IC50,FFU_IC50,IF_luc_IC50,RBD_SPR_nM,breadth,Zost_IC50,antibody_escapability,antibody_escapability_tolerance_weighted,antibody_escapability_natural_variation_weighted,group,MLV_IC50_scale,VSV_IC50_scale,FFU_IC50_scale,IF_luc_IC50_scale,Zost_IC50_scale,RBD_SPR_nM_scale,MLV_IC50_color,VSV_IC50_color,FFU_IC50_color,IF_luc_IC50_color,Zost_IC50_color,RBD_SPR_nM_color,breadth_scale,breadth_color,antibody_escapability_scale,antibody_escapability_tolerance_weighted_scale,antibody_escapability_natural_variation_weighted_scale,antibody_escapability_color,antibody_escapability_tolerance_weighted_color,antibody_escapability_natural_variation_weighted_color,neuts_combined_scale,neuts_combined_color
S2E12,1.04139268515823,0.146128035678238,0.602059991327962,0.477121254719662,0.204119982655925,0.25,NA,67.0685,6.5203922470852,1.11143283927602,1,0.879030149273788,1,0.816275880732054,1,NA,0.566765605848056,#973404,#662506,#B43D01,#662506,#7F7F7F,#F7821D,0.222222222222222,#FEE89D,0.501600467231844,0.972463852915624,0.892806556416213,#FE9829,#6C2C07,#903305,0.816275880732054,#B43D01
S2X58,1.47712125471966,0.612783856719735,0.662757831681574,1.07918124604762,-0.698970004336019,0.125,NA,76.85326,32.8002464948551,3.92842426687915,1,0.678795638083975,0.686248141449387,0.779230877174065,0.597555256922873,NA,0.826706242339222,#E0600B,#DE5E0A,#C24501,#F17918,#7F7F7F,#AF3B02,0.0740740740740741,#FFFCC9,0.411831549195399,0,0.376983921024687,#FFB840,#FFFFE5,#FEC34E,0.779230877174065,#C24501
S2H58,1.11394335230684,0.6232492903979,1.25285303097989,0.698970004336019,0.0413926851582251,0.125,NA,59.42214,16.297400950836,3.95839825444005,1,0.845690248271614,0.679211800919585,0.41908497033114,0.851706035399549,NA,0.61360416888753,#A73802,#E0600B,#FFB63E,#A43703,#7F7F7F,#EE7416,0.0740740740740741,#FFFCC9,0.571750932252667,0.61067388770507,0.371495348675708,#F6811D,#EF7416,#FEC551,0.41908497033114,#FFB63E
S2D106,1.51851393987789,0.556302500767287,0.698970004336019,0.477121254719662,-1.30102999566398,0.125,NA,23.57053,8.3798745422778,1.2540452113272,1,0.659774062133991,0.724222874870667,0.757129925031266,1,NA,1,#E5650E,#D45304,#CA4A02,#662506,#7F7F7F,#662506,0.0740740740740741,#FFFCC9,0.900666535656795,0.903655278097716,0.866692636128757,#8C3205,#8B3206,#9D3504,0.757129925031266,#CA4A02
S2X227,1.50514997831991,0.724275869600789,0.301029995663981,0.778151250383644,NA,0.125,NA,36.5584,11.619984664827,1.45778849901399,1,0.665915331027181,0.611287485913347,1,0.798777628461437,NA,NA,#E3640D,#EF7416,#662506,#BB4001,#7F7F7F,#7F7F7F,0.0740740740740741,#FFFCC9,0.78151113097666,0.783757734377036,0.829384961505354,#C14401,#C04401,#AE3A02,1,#662506
S2X16,0.778151250383644,0.57978359661681,1.11394335230684,0.903089986991944,0.982271233039568,0.125,NA,109.51641,15.291980149482,4.82182411027093,1,1,0.708435570541857,0.503864091148349,0.715262798579113,NA,0.342786673266971,#662506,#D85706,#FE9828,#D65505,#7F7F7F,#FECD5F,0.0740740740740741,#FFFCC9,0.112168028050058,0.647878636904514,0.213392417990249,#FFF8BF,#E76910,#FEEAA1,0.503864091148349,#FE9828
S304,NA,NA,NA,NA,0.0413926851582251,0.71875,NA,41.53151,26.0676639217571,1.35337088475579,1,NA,NA,NA,NA,NA,0.61360416888753,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#EE7416,0.777777777777778,#C24501,0.73588602581555,0.249133542651328,0.848504994473927,#D05003,#FEE391,#A63703,NA,#7F7F7F
S309,NA,1.57403126772772,1.93951925261862,1.8750612633917,-0.522878745280338,0.5,NA,33.88897,10.9574888601975,2.29112527572829,1,NA,0.0399620605051598,0,0.065552244409493,NA,0.776021067418915,#7F7F7F,#FFFED4,#FFFFE5,#FFFCCB,#7F7F7F,#C34501,0.518518518518518,#FD9325,0.80600144477833,0.80827283315332,0.676791677719893,#B83F01,#B73E01,#E1600B,0,#FFFFE5
S2X35,1.96378782734556,1.63346845557959,1.67209785793572,1.9731278535997,-0.698970004336019,0.5625,NA,44.40799,15.2400263875041,1.17530595084165,1,0.45515309983993,0,0.163212174597923,0,NA,0.826706242339222,#FFA933,#FFFFE5,#FFF2B2,#FFFFE5,#7F7F7F,#AF3B02,0.592592592592593,#F27A19,0.709496160621772,0.649801142070264,0.881110675336989,#D85706,#E76810,#963304,0.163212174597923,#FFF2B2
S2H97,NA,NA,NA,NA,NA,0.90625,NA,12.74324,5.7762556606682,0.526031984500451,1,NA,NA,NA,NA,NA,NA,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,1,#662506,1,1,1,#662506,#662506,#662506,NA,#7F7F7F
S2H13,2.69897000433602,NA,NA,NA,2.17318626841227,0.125,NA,107.48163,32.038269847563,5.98719486166837,1,0.117307812363569,NA,NA,NA,NA,0,#FFF8BE,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#FFFFE5,0.0740740740740741,#FFFCC9,0.130835833805354,0.0281963034981553,0,#FFF6BA,#FFFED8,#FFFFE5,NA,#7F7F7F
S2H14,2.95424250943932,NA,NA,NA,1.8750612633917,0.0625,NA,94.95598,14.8803625321159,2.46009694604888,1,0,NA,NA,NA,NA,0.0858107217167844,#FFFFE5,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#FFFBC6,0,#FFFFE5,0.245750665462257,0.663110199847667,0.645851075119113,#FEE493,#E4640D,#E86A10,NA,#7F7F7F
REGN10933,NA,NA,NA,NA,NA,0.167,NA,58.00445,8.686510988161,1.72721231706411,1,NA,NA,NA,NA,NA,NA,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,0.123851851851852,#FFF7BC,0.584757331736261,0.892308454907735,0.780050447206846,#F47D1A,#903305,#C24501,NA,#7F7F7F
REGN10987,NA,NA,NA,NA,NA,0.167,NA,93.73606,28.9281894456409,3.71774047032535,1,NA,NA,NA,NA,NA,NA,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,0.123851851851852,#FFF7BC,0.256942651621449,0.143282207020135,0.415562480443712,#FEE28E,#FFF5B7,#FFB73F,NA,#7F7F7F
LY-CoV016,NA,NA,NA,NA,NA,0.25,NA,121.74266,25.6158885729531,2.82718019385809,1,NA,NA,NA,NA,NA,NA,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,0.222222222222222,#FEE89D,0,0.265851108593975,0.578634027016792,#FFFFE5,#FEE089,#F57F1B,NA,#7F7F7F
rCR3022,NA,NA,NA,NA,NA,0.5,3.20897851727625,19.096862,8.47576934932958,0.442755879411334,2,NA,NA,NA,NA,0,NA,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#FFFFE5,#7F7F7F,0.518518518518518,#FD9325,0.525710438665624,0,0.500258743023205,#FC9024,#FFFFE5,#FE9929,0,#FFFFE5
COV2-2677,NA,NA,NA,NA,NA,0.08333,3.20897851727625,8.898504,3.4004240491318,0.405800396240915,2,NA,NA,NA,NA,0,NA,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#FFFFE5,#7F7F7F,0.0246874074074074,#FFFEDA,0.796404194071744,0.620275337752855,0.545700773191731,#BC4101,#ED7115,#FA8921,0,#FFFFE5
COV2-2082,NA,NA,NA,NA,NA,0.5,2.3096301674259,6.044605,1.7209064780496,0.154132979270508,2,NA,NA,NA,NA,0.505929841251169,NA,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#FE9728,#7F7F7F,0.518518518518518,#FD9325,0.872154882355071,0.825534934301738,0.855161707626444,#9A3404,#B03B01,#A33603,0.505929841251169,#FE9728
COV2-2094,NA,NA,NA,NA,NA,0.5,2.18752072083646,4.256636,1.70588019934192,0.234213817426068,2,NA,NA,NA,NA,0.574622704187473,NA,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#F5801C,#7F7F7F,0.518518518518518,#FD9325,0.919612722446557,0.827371347304064,0.7566909111115,#833106,#AF3B02,#CA4A02,0.574622704187473,#F5801C
COV2-2165,NA,NA,NA,NA,NA,0.25,2.52113808370404,1.970152,0.29336229348107,0.0363440280200312,2,NA,NA,NA,NA,0.38694572733828,NA,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#FEC04A,#7F7F7F,0.222222222222222,#FEE89D,0.980302584543573,1,1,#6A2A07,#662506,#662506,0.38694572733828,#FEC04A
COV2-2832,NA,NA,NA,NA,NA,0.167,1.84509804001426,6.827445,0.8936790648307,0.0943223418307683,2,NA,NA,NA,NA,0.767253126623901,NA,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#C64801,#7F7F7F,0.123851851851852,#FFF7BC,0.851376057030236,0.926633230631011,0.928707405254096,#A43703,#7F3107,#7E3107,0.767253126623901,#C64801
COV2-2479,NA,NA,NA,NA,NA,0.167,1.68124123737559,1.228054,0.4504434804942,0.0547027646506404,2,NA,NA,NA,NA,0.859431030948405,NA,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#A13603,#7F7F7F,0.123851851851852,#FFF7BC,1,0.98080256996004,0.977425318457426,#662506,#6A2A07,#6B2B07,0.859431030948405,#A13603
COV2-2050,NA,NA,NA,NA,NA,0.167,1.90308998699194,6.493757,2.24394943933663,0.585601927565294,2,NA,NA,NA,NA,0.734629664832762,NA,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#D15003,#7F7F7F,0.123851851851852,#FFF7BC,0.860233096354994,0.761612062007922,0.324609181096686,#A03603,#C84901,#FED269,0.734629664832762,#D15003
COV2-2096,NA,NA,NA,NA,NA,0.08333,1.77085201164214,14.408705,6.98694521599151,0.849588573507246,2,NA,NA,NA,NA,0.809020347694672,NA,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#B73E01,#7F7F7F,0.0246874074074074,#FFFEDA,0.650147610243979,0.18195429818832,0,#E76810,#FFEFAC,#FFFFE5,0.809020347694672,#B73E01
COV2-2499,NA,NA,NA,NA,NA,0.167,1.43136376415899,38.902946,5.87580119763086,0.601488788206534,2,NA,NA,NA,NA,1,NA,#7F7F7F,#7F7F7F,#7F7F7F,#7F7F7F,#662506,#7F7F7F,0.123851851851852,#FFF7BC,0,0.317751015557256,0.305074023155083,#FFFFE5,#FED46D,#FED774,1,#662506
