antibody,metric,value
S2E12,MLV_IC50,11
S2X58,MLV_IC50,30
S2H58,MLV_IC50,13
S2D106,MLV_IC50,33
S2X227,MLV_IC50,32
S2X16,MLV_IC50,6
S304,MLV_IC50,NA
S309,MLV_IC50,NA
S2X35,MLV_IC50,92
S2H97,MLV_IC50,NA
S2H13,MLV_IC50,500
S2H14,MLV_IC50,900
S2E12,VSV_IC50,1.4
S2X58,VSV_IC50,4.1
S2H58,VSV_IC50,4.2
S2D106,VSV_IC50,3.6
S2X227,VSV_IC50,5.3
S2X16,VSV_IC50,3.8
S304,VSV_IC50,NA
S309,VSV_IC50,37.5
S2X35,VSV_IC50,43
S2H97,VSV_IC50,NA
S2H13,VSV_IC50,NA
S2H14,VSV_IC50,NA
S2E12,FFU_IC50,4
S2X58,FFU_IC50,4.6
S2H58,FFU_IC50,17.9
S2D106,FFU_IC50,5
S2X227,FFU_IC50,2
S2X16,FFU_IC50,13
S304,FFU_IC50,NA
S309,FFU_IC50,87
S2X35,FFU_IC50,47
S2H97,FFU_IC50,NA
S2H13,FFU_IC50,NA
S2H14,FFU_IC50,NA
S2E12,IF_luc_IC50,3
S2X58,IF_luc_IC50,12
S2H58,IF_luc_IC50,5
S2D106,IF_luc_IC50,3
S2X227,IF_luc_IC50,6
S2X16,IF_luc_IC50,8
S304,IF_luc_IC50,NA
S309,IF_luc_IC50,75
S2X35,IF_luc_IC50,94
S2H97,IF_luc_IC50,NA
S2H13,IF_luc_IC50,NA
S2H14,IF_luc_IC50,NA
S2E12,RBD_SPR_nM,1.6
S2X58,RBD_SPR_nM,0.2
S2H58,RBD_SPR_nM,1.1
S2D106,RBD_SPR_nM,0.05
S2X227,RBD_SPR_nM,NA
S2X16,RBD_SPR_nM,9.6
S304,RBD_SPR_nM,1.1
S309,RBD_SPR_nM,0.3
S2X35,RBD_SPR_nM,0.2
S2H97,RBD_SPR_nM,NA
S2H13,RBD_SPR_nM,149
S2H14,RBD_SPR_nM,75
S2E12,breadth,0.25
S2X58,breadth,0.125
S2H58,breadth,0.125
S2D106,breadth,0.125
S2X227,breadth,0.125
S2X16,breadth,0.125
S304,breadth,0.71875
S309,breadth,0.5
S2X35,breadth,0.5625
S2H97,breadth,0.90625
S2H13,breadth,0.125
S2H14,breadth,0.0625
REGN10933,breadth,0.167
REGN10987,breadth,0.167
LY-CoV016,breadth,0.25
rCR3022,breadth,0.5
COV2-2677,breadth,0.08333
COV2-2082,breadth,0.5
COV2-2094,breadth,0.5
COV2-2165,breadth,0.25
COV2-2832,breadth,0.167
COV2-2479,breadth,0.167
COV2-2050,breadth,0.167
COV2-2096,breadth,0.08333
COV2-2499,breadth,0.167
rCR3022,Zost_IC50,1618
COV2-2677,Zost_IC50,1618
COV2-2082,Zost_IC50,204
COV2-2094,Zost_IC50,154
COV2-2165,Zost_IC50,332
COV2-2832,Zost_IC50,70
COV2-2479,Zost_IC50,48
COV2-2050,Zost_IC50,80
COV2-2096,Zost_IC50,59
COV2-2499,Zost_IC50,27